Doc,NormalizedTF
D3465,0.035714286
D3466,0
D3469,0
D3470,0
D3477,0.022222222
D3478,0
D3481,0
D3483,0
D3484,0
D3486,0
D3488,0
D3489,0
D3495,0
D3496,0
D3501,0
D3502,0.1
D3507,0
D3511,0
D3512,0
D3513,0
D3514,0
D3516,0
D3519,0.015873016
D3524,0
D3528,0
D3531,0
D3546,0
D3547,0
D3551,0
D3556,0
D3563,0
D3568,0
D3569,0
D3574,0
D3593,0
D3594,0
D3598,0
D3601,0
D3603,0
D3611,0
D3621,0
D3623,0
D3626,0
D3627,0
D3628,0
D3629,0
D3631,0.043478261
D3633,0
D3634,0
D3635,0
D3636,0
D3638,0
D3643,0.016393443
D3644,0
D3645,0
D3646,0
D3647,0
D3649,0
D3651,0.033333333
D3652,0
D3653,0
D3654,0
D3655,0.04
D3658,0.05
D3663,0
D3666,0
D3674,0
D3686,0
D3690,0
D3691,0
D3696,0
D3699,0
D3700,0
D3701,0
D3703,0
D3706,0
D3712,0
D3714,0
D3727,0
D3729,0
D3730,0
D3732,0.117647059
D3734,0
D3738,0
D3741,0
D3742,0
D3743,0.041666667
D3744,0
D3748,0
D3751,0
D3753,0
D3758,0
D3761,0
D3768,0
D3775,0
D3777,0
D3781,0.021276596
D3802,0
D3808,0
D3811,0
D3812,0
D3820,0
D3824,0
D3828,0
D3833,0
D3835,0
D3846,0
D3850,0
D3851,0
D3852,0
D3853,0
D3854,0
D3857,0
D3866,0.075471698
D3868,0
D3874,0
D3881,0
D3884,0.076923077
D3893,0
D3903,0
D3907,0.041666667
D3917,0
D3919,0
D3923,0
D3924,0
D3930,0
D3931,0
D3932,0
D3938,0
D3945,0
D3950,0
D3952,0
D3954,0
D3956,0
D3958,0
D3970,0
D3974,0
D3978,0
D3986,0
D3989,0
D3997,0
D4004,0
D4005,0
D4012,0.026315789
D4013,0.04
D4014,0
D4015,0.016949153
D4016,0
D4017,0
D4018,0
D4020,0
D4027,0
D4029,0
D4031,0
D4040,0.068965517
D4050,0
D4051,0
D4054,0
D4061,0
D4064,0
D4066,0.033333333
D4072,0
D4075,0
D4080,0.083333333
D4082,0
D4084,0
D4085,0
D4087,0
D4094,0
D4104,0
D4111,0
D4112,0
D4118,0
D4130,0
D4132,0
D4134,0
D4136,0
D4138,0
D4143,0.038461538
D4144,0
D4148,0
D4149,0
D4150,0.055555556
D4152,0
D4156,0
D4162,0
D4163,0.052631579
D4165,0.045454545
D4167,0
D4168,0
D4170,0
D4171,0
D4173,0
D4174,0
D4178,0
D4180,0
D4188,0
D4193,0.052631579
D4202,0
D4204,0
D4206,0
D4207,0
D4209,0
D4210,0
D4211,0
D4213,0
D4215,0
D4218,0
D4219,0
D4223,0.03030303
D4225,0
D4232,0.083333333
D4233,0.03030303
D4235,0
D4243,0
D4244,0.012820513
D4249,0.125
D4259,0.032258065
D4262,0.025641026
D4263,0.03030303
D4271,0.032258065
D4272,0.153846154
D4273,0
D4276,0
D4285,0.034482759
D4295,0.047619048
D4297,0.058823529
D4300,0
D4303,0
D4306,0.045454545
D4307,0.022222222
D4311,0.018518519
D4313,0
D4322,0
D4324,0.05
D4325,0
D4327,0
D4328,0.018867925
D4331,0
D4333,0.033333333
D4336,0.03125
D4338,0.076923077
D4339,0
D4340,0
D4342,0
D4348,0
D4351,0
D4356,0
D4357,0
D4358,0
D4359,0
D4372,0
D4378,0
D4381,0
D4385,0
D4389,0.033898305
D4404,0
D4405,0
D4406,0
D4409,0
D4410,0.0625
D4414,0
D4420,0
D4421,0
D4424,0
D4425,0
D4426,0.117647059
D4428,0
D4433,0
D4437,0
D4443,0
D4444,0.166666667
D4454,0
D4459,0
D4460,0
D4471,0
D4474,0
D4483,0
D4484,0
D4494,0
D4498,0
D4499,0
D4509,0.047619048
D4514,0.066666667
D4515,0
D4527,0
D4529,0
D4530,0
D4533,0
D4537,0
D4541,0
D4545,0
D4549,0
D4559,0
D4564,0
D4565,0
D4592,0
D4593,0
D4595,0
D4603,0.181818182
D4633,0
D4635,0
D4636,0
D4639,0
D4640,0
D4641,0
D4651,0
D4652,0
D4668,0.05
D4674,0
D4676,0
D4678,0
D4682,0
D4693,0
D4698,0
D4705,0
D4711,0.055555556
D4715,0.072727273
D4724,0
D4727,0.052631579
D4731,0
D4735,0
D4745,0
D4749,0
D4756,0
D4759,0
D4761,0
D4765,0
D4767,0.020833333
D4769,0.023255814
D4770,0
D4775,0.058823529
D4777,0.06122449
D4778,0.043478261
D4779,0.034482759
D4780,0.142857143
D4784,0.066666667
D4795,0
D4797,0.032786885
D4798,0.035714286
D4801,0
D4805,0
D4808,0.071428571
D4809,0.075
D4810,0.035714286
D4817,0
D4822,0
D4823,0.051282051
D4825,0
D4827,0.046511628
D4832,0.054794521
D4835,0.125
D4848,0.051282051
D4850,0.022222222
D4851,0.025
D4858,0.0625
D4863,0
D4865,0
D4867,0
D4870,0
D4871,0
D4872,0
D4875,0
D4877,0
D4879,0.071428571
D4880,0
D4881,0.068965517
D4882,0.045977011
D4884,0.0625
D4891,0.1
D4893,0.272727273
D4894,0.021276596
D4896,0.04
D4897,0
D4900,0
D4902,0
D4905,0
D4930,0
D4933,0.083333333
D4938,0.015873016
D4946,0
D4956,0
D4960,0
D4964,0.043478261
D4966,0
D4969,0
D4973,0.06
D4976,0.2
D4977,0.05
D4978,0
D4979,0
D4980,0
D4981,0
D4988,0
D4991,0
D4996,0.07826087
D4998,0
D5003,0
D5004,0
D5005,0.090909091
D5007,0.023809524
D5008,0
D5009,0.157894737
D5012,0.058823529
D5014,0
D5015,0.05
D5020,0
D5024,0
D5027,0
D5031,0
D5036,0
D5037,0
D5041,0
D5042,0
D5045,0
D5047,0
D5048,0
D5050,0
D5051,0
D5052,0
D5053,0
D5056,0
D5059,0
D5067,0
D5070,0.027777778
D5073,0.071428571
D5082,0.033898305
D5083,0
D5090,0
D5093,0.076923077
D5094,0.105263158
D5097,0.117647059
D5098,0
D5099,0.076923077
D5100,0.018518519
D5101,0.051724138
D5102,0.026315789
D5104,0
D5105,0
D5109,0.038461538
D5112,0
D5119,0
D5123,0
D5128,0.03030303
D5130,0.091954023
D5135,0
D5138,0
D5145,0
D5146,0
D5147,0.035087719
D5154,0
D5155,0
D5157,0
D5160,0.04
D5162,0
D5164,0.049180328
D5168,0.083333333
D5177,0
D5178,0.029850746
D5181,0.047619048
D5182,0
D5183,0.034883721
D5184,0.080645161
D5185,0.018518519
D5187,0.033333333
D5189,0
D5195,0
D5198,0
D5201,0.029411765
D5202,0.03030303
D5207,0.1
D5212,0
D5216,0
D5219,0
D5220,0
D5221,0
D5223,0
D5229,0.018867925
