Doc,TF
D3483,0
D3484,0
D3486,0
D3488,0
D3489,0
D3495,0
D3496,0
D3501,0
D3502,1
D3507,0
D3511,0
D3512,0
D3513,0
D3514,0
D3516,0
D3519,1
D3524,0
D3528,0
D3531,0
D3546,0
D3547,0
D3551,0
D3556,0
D3563,0
D3568,0
D3569,0
D3574,0
D3593,0
D3594,0
D3598,0
D3601,0
D3603,0
D3611,0
D3621,0
D3623,0
D3626,0
D3627,0
D3628,0
D3629,0
D3631,2
D3633,0
D3634,0
D3635,0
D3636,0
D3638,0
D3643,1
D3644,0
D3645,0
D3646,0
D3647,0
D3649,0
D3651,1
D3652,0
D3653,0
D3654,0
D3655,2
D3658,1
D3663,0
D3666,0
D3674,0
D3686,0
D3690,0
D3691,0
D3696,0
D3699,0
D3700,0
D3701,0
D3703,0
D3706,0
D3712,0
D3714,0
D3727,0
D3729,0
D3730,0
D3732,2
D3734,0
D3738,0
D3741,0
D3742,0
D3743,1
D3744,0
D3748,0
D3751,0
D3753,0
D3758,0
D3761,0
D3768,0
D3775,0
D3777,0
D3781,1
D3802,0
D3808,0
D3811,0
D3812,0
D3820,0
D3824,0
D3828,0
D3833,0
D3835,0
D3846,0
D3850,0
D3851,0
D3852,0
D3853,0
D3854,0
D3857,0
D3866,4
D3868,0
D3874,0
D3881,0
D3884,1
D3893,0
D3903,0
D3907,1
D3917,0
D3919,0
D3923,0
D3924,0
D3930,0
D3931,0
D3932,0
D3938,0
D3945,0
D3950,0
D3952,0
D3954,0
D3956,0
D3958,0
D3970,0
D3974,0
D3978,0
D3986,0
D3989,0
D3997,0
D4004,0
D4005,0
D4012,1
D4013,1
D4014,0
D4015,1
D4016,0
D4017,0
D4018,0
D4020,0
D4027,0
D4029,0
D4031,0
D4040,2
D4050,0
D4051,0
D4054,0
D4061,0
D4064,0
D4066,1
D4072,0
D4075,0
D4080,2
D4082,0
D4084,0
D4085,0
D4087,0
D4094,0
D4104,0
D4111,0
D4112,0
D4118,0
D4130,0
D4132,0
D4134,0
D4136,0
D4138,0
D4143,1
D4144,0
D4148,0
D4149,0
D4150,1
D4152,0
D4156,0
D4162,0
D4163,1
D4165,1
D4167,0
D4168,0
D4170,0
D4171,0
D4173,0
D4174,0
D4178,0
D4180,0
D4188,0
D4193,3
D4202,0
D4204,0
D4206,0
D4207,0
D4209,0
D4210,0
D4211,0
D4213,0
D4215,0
D4218,0
D4219,0
D4223,1
D4225,0
D4232,1
D4233,1
D4235,0
D4243,0
D4244,1
D4249,2
D4259,1
D4262,1
D4263,1
D4271,1
D4272,2
D4273,0
D4276,0
D4285,1
D4295,1
D4297,2
D4300,0
D4303,0
D4306,1
D4307,1
D4311,1
D4313,0
D4322,0
D4324,1
D4325,0
D4327,0
D4328,1
D4331,0
D4333,1
D4336,1
D4338,1
D4339,0
D4340,0
D4342,0
D4348,0
D4351,0
D4356,0
D4357,0
D4358,0
D4359,0
D4372,0
D4378,0
D4381,0
D4385,0
D4389,2
D4404,0
D4405,0
D4406,0
D4409,0
D4410,1
D4414,0
D4420,0
D4421,0
D4424,0
D4425,0
D4426,4
D4428,0
D4433,0
D4437,0
D4443,0
D4444,2
D4454,0
D4459,0
D4460,0
D4471,0
D4474,0
D4483,0
D4484,0
D4494,0
D4498,0
D4499,0
D4509,1
D4514,1
D4515,0
D4527,0
D4529,0
D4530,0
D4533,0
D4537,0
D4541,0
D4545,0
D4549,0
D4559,0
D4564,0
D4565,0
D4592,0
D4593,0
D4595,0
D4603,2
D4633,0
D4635,0
D4636,0
D4639,0
D4640,0
D4641,0
D4651,0
D4652,0
D4668,1
D4674,0
D4676,0
D4678,0
D4682,0
D4693,0
D4698,0
D4705,0
D4711,1
D4715,4
D4724,0
D4727,1
D4731,0
D4735,0
D4745,0
D4749,0
D4756,0
D4759,0
D4761,0
D4765,0
D4767,1
D4769,1
D4770,0
D4775,1
D4777,3
D4778,1
D4779,2
D4780,2
D4784,1
D4795,0
D4797,2
D4798,3
D4801,0
D4805,0
D4808,1
D4809,3
D4810,1
D4817,0
D4822,0
D4823,4
D4825,0
D4827,2
D4832,4
D4835,3
D4848,2
D4850,1
D4851,1
D4858,1
D4863,0
D4865,0
D4867,0
D4870,0
D4871,0
D4872,0
D4875,0
D4877,0
D4879,2
D4880,0
D4881,6
D4882,4
D4884,2
D4891,3
D4893,3
D4894,1
D4896,1
D4897,0
D4900,0
D4902,0
D4905,0
D4930,0
D4933,1
D4938,1
D4946,0
D4956,0
D4960,0
D4964,1
D4966,0
D4969,0
D4973,3
D4976,1
D4977,1
D4978,0
D4979,0
D4980,0
D4981,0
D4988,0
D4991,0
D4996,9
D4998,0
D5003,0
D5004,0
