title,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D106,39,0,6,9,0,2,1,0,0,0,1,4,-1.083333333,58.78846154,10.74596669,10.87985246,20.05,17.65128205,14.74820513
D107,12,0,2,2,1,1,0,0,0,0,1,0,0.34375,117.105,3,1.333092667,0.27,4.8,-0.093333333
D108,14,1,5,10,0,0,0,0,0,0,0,1,-0.125,71.76785714,12.48683298,12.32505257,9.792857143,14.17142857,6.727142857
D109,6,0,2,2,0,0,0,0,0,0,0,1,-0.125,130.245,3,-7.012365,-7.44,2.4,-3.416666667
D110,48,2,17,16,3,1,2,0,0,0,7,4,1.491173246,77.04,8.477225575,1.834831812,17.190625,20.03333333,14.43833333
D111,18,1,9,6,0,0,1,0,1,-0.475,2,1,-0.375,141.565,3,46.58050244,38.85666667,7.2,-2.014444444
D112,42,3,3,12,4,1,3,0,0,0,6,0,2.52827381,57.44785714,8.477225575,9.394080643,20.31642857,17.75238095,15.68047619
D113,41,2,14,11,4,4,0,0,0,0,4,0,1.359375,86.8102439,3,1.547341024,13.54463415,16.4,11.33658537
D114,11,0,0,3,0,2,0,0,1,-0.375,3,0,0.6875,111.07,3,-1.920067545,-2.656363636,4.4,0.5
D115,17,0,6,6,0,0,0,1,0,0,2,1,0.96875,90.05058824,3,3.557056647,3.970588235,6.8,4.922352941
D116,25,3,12,10,1,1,1,0,0,0,1,3,-0.25,107.012,3,4.88875052,8.5912,10,4.544
D117,17,6,7,10,0,0,0,0,0,0,1,0,0.125,144.7917647,3,2.173562294,2.862352941,6.8,-2.712941176
D118,25,7,8,15,1,0,0,0,0,0,2,0,0.239583333,93.476,8.477225575,9.35743728,12.1708,11.6,6.432
D119,33,7,13,18,2,0,0,0,0,0,1,2,-0.75,116.94,8.477225575,6.643838455,13.76727273,14.41212121,5.146666667
D120,22,9,4,14,2,2,0,0,0,0,2,0,0.59375,149.8959091,3,2.097468364,4.984545455,8.8,-2.182727273
D121,23,1,11,9,1,0,3,1,1,0.4375,2,1,0.046875,98.89,3,2.341865391,5.633478261,9.2,5.18
D122,18,1,3,8,1,0,1,0,0,0,1,1,0.46875,127.465,3,2.154961556,3.27,7.2,-0.047777778
D123,13,0,2,2,0,1,0,0,0,0,0,0,0,128.5630769,3,0.467396846,-0.075384615,5.2,-1.443076923
D124,19,1,3,6,1,0,1,0,1,-0.375,1,3,-0.5,98.49736842,3,3.066716316,4.431052632,7.6,4.241052632
D125,32,2,9,14,0,0,0,0,0,0,2,2,0.4375,73.8925,8.477225575,9.366432313,15.470625,14.05,10.9025
D126,38,0,3,7,2,1,2,0,0,0,8,1,2.27827381,72.53342105,10.74596669,6.011589842,15.66631579,17.30526316,12.58263158
D127,25,1,9,5,3,2,0,0,0,0,0,3,-0.479166667,110.396,8.477225575,-1.93187664,3.1276,11.6,4.072
D128,13,0,5,2,0,1,0,0,0,0,2,0,0.1875,122.0553846,3,-2.246380538,-2.249230769,5.2,-0.535384615
D129,55,0,4,13,2,2,7,0,0,0,7,0,1.92575,66.41,3,3.011300564,21.57018182,22,17.66
D130,31,0,6,13,0,1,0,0,1,-0.375,4,0,1.130511905,55.29258065,10.74596669,6.764171613,12.91,14.98064516,13.2483871
D131,19,1,3,7,0,1,0,0,0,0,1,1,0.43125,94.04473684,8.477225575,5.232977211,6.166315789,9.705263158,4.862105263
D132,18,2,5,6,0,1,0,0,0,0,3,2,-0.129166667,127.465,3,3.134936722,4.055,7.2,-0.047777778
D133,35,1,6,10,4,1,1,0,0,0,5,1,1.5625,81.87571429,8.477225575,4.353313,12.89142857,15.14285714,10.53428571
D134,17,0,2,4,0,1,1,1,0,0,2,3,0.045833333,114.9329412,3,2.173562294,2.862352941,6.8,1.451764706
D135,33,0,6,7,2,2,1,1,0,0,7,1,1.666666667,81.04909091,10.74596669,5.040242727,12.48272727,15.62424242,10.15272727
D136,19,0,3,4,0,2,0,0,0,0,3,0,1.322916667,85.13947368,10.74596669,6.780306421,7.405789474,11.81052632,6.104210526
D137,17,0,2,3,0,1,1,0,0,0,2,2,0.25,100.0035294,3,1.827688706,2.585294118,6.8,3.534117647
D138,34,1,2,6,3,1,0,1,0,0,2,4,-0.416666667,77.77205882,3,3.735523588,11.91647059,13.6,10.85823529
D139,22,0,4,8,1,1,0,0,0,0,3,0,1.375,69.14136364,8.477225575,8.244585318,9.908636364,10.61818182,9.080909091
