Doc,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D380,16,0,0,2,2,2,0,1,0,0,2,1,0.1875,127.145,3,-2.582890812,-1.360625,6.4,-0.5
D381,23,0,2,2,3,3,0,0,0,0,5,2,0.7625,91.53347826,3,4.131385261,7.066956522,9.2,6.206086957
D382,14,0,1,8,1,1,0,0,0,0,0,3,-1.25,120.1107143,8.477225575,2.245308,1.718571429,8.457142857,-0.015714286
D383,21,0,1,2,2,1,0,0,0,0,2,2,-0.59375,92.86285714,3,1.549802524,4.097142857,8.4,5.523809524
D384,15,0,0,3,1,2,0,0,0,0,6,0,0.58125,112.65,3,2.610194133,2.398,6,1.273333333
D386,28,1,1,2,1,6,0,0,0,0,3,2,-0.217125,69.64357143,10.74596669,6.661911429,11.41,14.05714286,10.50142857
D389,20,0,1,1,3,1,0,1,0,0,3,3,-0.217125,110.395,3,0.65337755,2.9355,8,2.83
D391,63,0,2,5,4,5,0,8,0,0,7,6,-0.442708333,51.57571429,3,3.889045778,26.21857143,25.2,21.71650794
D392,50,0,0,8,4,5,0,3,0,0,7,7,-1.569666667,34.261,13.95445115,9.94918288,24.6708,23.2,20.902
D393,10,0,0,1,1,0,0,0,0,0,0,2,-1.375,129.005,3,-5.2358747,-5.597,4,-2.25
D395,18,0,0,13,1,2,0,1,1,0.4375,3,1,-0.375,118.065,3,3.134936722,4.055,7.2,1.263333333
D396,28,0,0,2,1,2,1,3,0,0,3,3,-0.5,93.815,3,-0.057918286,6.027142857,11.2,7.13
D401,5,0,0,2,0,0,0,0,0,0,0,0,0,117.16,8.477225575,-4.078707,-4.8,10,-1.84
D402,34,0,1,2,0,2,0,1,0,0,4,3,-0.572916667,82.74852941,3,3.735523588,11.91647059,13.6,10.16411765
D403,56,1,0,9,1,7,1,1,0,0,6,5,-0.9655,41.22357143,10.74596669,7.82023975,25.91464286,23.82857143,21.42142857
D404,378,1,7,29,40,33,8,0,0,0,58,28,1.564434524,-265.0159524,12.48683298,5.851483214,184.9770635,151.5174603,144.1294709
D405,13,0,3,2,1,1,0,1,0,0,0,3,-1.048833333,109.04,8.477225575,1.371989308,0.649230769,8.276923077,1.28
D406,10,0,1,2,1,0,0,0,0,0,2,0,0.608333333,112.085,3,0.0559912,-1.358,4,0.11
D407,11,0,0,1,0,2,0,0,1,0.4375,2,0,0.75,87.99727273,10.74596669,3.959783455,2.053636364,11.67272727,3.718181818
D408,7,0,0,2,0,0,0,0,0,0,0,0,0,151.3871429,3,-6.587898857,-7.164285714,2.8,-6.117142857
D409,52,4,0,12,3,3,0,2,0,0,7,8,-1.257166667,43.42423077,10.74596669,8.732650654,24.67807692,22.33846154,20.12076923
D411,10,0,0,1,0,1,0,0,0,0,1,0,0.125,120.545,3,-2.2959492,-3.242,4,-1.07
D413,15,0,1,2,2,0,1,0,0,0,1,3,-0.875,101.37,3,3.0021842,2.712,6,2.846666667
D414,59,0,1,5,5,0,0,5,0,0,10,8,-1.112791667,49.44491525,10.74596669,5.323609339,25.39322034,24.9559322,21.02
D415,21,1,4,2,0,3,0,2,0,0,5,4,-0.347791667,92.86285714,10.74596669,5.46970319,7.237142857,12.20952381,5.523809524
D418,8,0,1,2,0,0,0,0,0,0,0,0,0,103.54,8.477225575,1.0802645,-0.945,8.2,0.805
D419,13,6,0,6,0,0,1,3,0,0,1,3,-1,167.6092308,3,1.371989308,0.649230769,5.2,-6.889230769
D420,10,0,1,2,0,1,0,0,0,0,0,1,-0.25,120.545,3,-3.4719194,-4.184,4,-1.07
D421,19,0,1,3,3,1,0,0,0,0,2,0,0.1875,116.3078947,3,0.281523737,2.2,7.6,1.756842105
D422,14,3,0,4,1,2,0,1,0,0,1,2,0,120.1107143,8.477225575,0.985339929,0.709285714,8.457142857,-0.015714286
D423,50,0,1,4,1,3,0,1,0,0,9,7,-1.957166667,57.949,8.477225575,5.01010804,20.7144,20.8,17.598
D424,24,3,1,4,0,2,0,2,0,0,2,5,-1.618269231,87.3,3,6.730790458,9.60625,9.6,7.045
D425,46,0,0,8,2,4,0,4,0,0,8,4,0.814732143,62.67108696,8.477225575,4.774587,18.56695652,19.26956522,15.94565217
D427,21,0,0,4,3,0,0,0,1,0.4375,4,1,0.887041667,113.0057143,3,2.669774143,4.994285714,8.4,2.714285714
D428,18,0,0,1,0,3,1,0,0,0,5,0,0.9055,99.265,3,0.848328,2.223333333,7.2,3.885555556
D429,11,0,0,2,0,0,0,1,0,0,1,0,0.125,111.07,3,4.494315364,2.481818182,4.4,0.5
D430,8,0,0,1,1,1,0,0,0,0,1,0,0.1875,124.69,3,-5.534567875,-6.24375,3.2,-2.145
D431,28,0,0,6,1,3,0,2,0,0,2,2,-0.09375,84.75071429,8.477225575,7.291895464,11.91464286,12.62857143,8.394285714
D432,8,0,0,2,0,0,0,0,0,0,0,2,-0.90625,135.265,3,-4.7995865,-5.655,3.2,-3.62
D434,11,0,1,2,0,0,1,0,0,0,1,0,0.434083333,141.8336364,3,-1.385535636,-2.228181818,4.4,-3.790909091
D435,48,0,2,4,3,1,0,3,0,0,9,4,0.48139881,64.7025,8.477225575,2.692310083,17.8775,20.03333333,16.15916667
D436,21,0,1,4,2,1,0,0,1,0.4375,2,0,0.25,108.9771429,3,0.989816714,3.648571429,8.4,3.276190476
D438,14,0,1,6,0,1,0,0,0,0,0,0,0,101.9821429,3,3.925265429,3.064285714,5.6,2.512857143
D444,19,0,1,3,1,1,1,1,0,0,2,3,0.354761905,116.3078947,3,1.209921263,2.943684211,7.6,1.756842105
D447,16,0,0,1,1,1,0,0,0,0,3,2,0.2,116.57,3,2.194488125,2.46625,6.4,0.975
D451,15,0,1,5,1,1,0,0,0,0,0,2,-0.5,118.29,8.477225575,4.962134533,4.282,8.666666667,0.486666667
D452,17,0,1,3,1,3,1,0,0,0,3,1,0.046875,119.9094118,3,0.098320765,1.2,6.8,0.757647059
D454,8,0,1,1,0,1,0,0,0,0,1,0,0.875,124.69,3,-4.7995865,-5.655,3.2,-2.145
D456,11,0,1,1,0,1,0,1,1,0.4375,1,0,0,111.07,3,-1.920067545,-2.656363636,4.4,0.5
D457,13,1,1,3,1,2,0,0,1,-0.0625,1,2,0.020833333,122.0553846,3,-1.794084308,-1.886923077,5.2,-0.535384615
D458,11,4,1,5,0,2,0,0,0,0,0,2,-0.541666667,149.5245455,3,-0.316471818,-1.371818182,4.4,-4.863636364
D459,31,4,2,10,2,3,0,0,0,0,1,5,-1.625,96.22806452,8.477225575,3.350064581,10.17516129,13.69032258,7.538709677
D462,13,0,1,1,2,1,0,0,0,0,0,2,-1.25,109.04,3,-0.889491846,-1.162307692,5.2,1.28
D464,27,3,1,4,1,2,0,1,1,0.4375,3,3,-0.3125,97.96333333,3,2.920646407,7.944444444,10.8,6.302962963
D466,12,0,4,3,0,1,0,0,0,0,2,1,0.53125,124.155,3,-2.586808,-2.87,4.8,-1.076666667
